Date	Sample	Absorbance_1	Absorbance_2	Dilution	
24/10/2013	Bioreactor	0.1595	0.1563	1
24/10/2013	Influent_soluble	0.1511	0.1526	1
24/10/2013	Influent_total	0.2076	0.2091	1
24/10/2013	Influent_concentrate	0.2076	0.2273	1
28/10/2013	Blank	0.0504	0.0496	1
28/10/2013	Influent_soluble	0.1615	0.1639	1
28/10/2013	Influent_total	0.249	0.2292	1
28/10/2013	Influent_concentrate	0.2554	0.2373	1
31/10/2013	Blank	0.0504	0.0496	1
31/10/2013	Influent_soluble	0.1139	0.1154	1
31/10/2013	Influent_total	0.2968	0.2874	1
31/10/2013	Influent_concentrate	0.2266	0.2375	1
1/11/2013	Blank	0.0504	0.0496	1
1/11/2013	Bioreactor	0.1545	0.1504	1
4/11/2013	Blank	0.0504	0.0496	1
4/11/2013	Influent_soluble	0.1263	0.1323	1
4/11/2013	Influent_total	0.3198	0.322	1
4/11/2013	Influent_concentrate	0.2157	0.2281	1
4/11/2013	Bioreactor	0.1593	0.1666	1
7/11/2013	Blank	0.0504	0.0496	1
7/11/2013	Influent_soluble	0.1399	0.1487	1
7/11/2013	Influent_total	0.2976	0.3037	1
7/11/2013	Influent_concentrate	0.2209	0.2139	1
7/11/2013	Bioreactor	0.1617	0.1625	1
11/11/2013	Blank	0.0504	0.0496	1
11/11/2013	Influent_soluble	0.1632	0.1539	1
11/11/2013	Influent_total	0.2044	0.2079	1
11/11/2013	Influent_concentrate	0.2191	0.2113	1
11/11/2013	Bioreactor	0.1632	0.1781	1
14/11/2013	Blank	0.0509	0.0509	1
14/11/2013	Influent_soluble	0.1346	0.1367	1
14/11/2013	Influent_total	0.1898	0.1912	1
14/11/2013	Influent_concentrate	0.1864	0.176	1
14/11/2013	Bioreactor	0.1555	0.1531	1
18/11/2013	Blank	0.0532	0.0524	1
18/11/2013	Influent_soluble	0.1526	0.1611	1
18/11/2013	Influent_total	0.2701	0.2438	1
18/11/2013	Influent_concentrate	0.2252	0.2365	1
18/11/2013	Bioreactor	0.1586	0.1636	1
21/11/2013	Bioreactor	0.1494	0.1539	1
21/11/2013	Influent_soluble	0.1351	0.137	1
21/11/2013	Influent_total	0.3154	0.2797	1
21/11/2013	Influent_concentrate	0.2521	0.2469	1
