Date	Sample	Absorbance_1	Absorbance_2	Dilution
22/10/2013	Blank	0.3402	0.3346	NA
22/10/2013	P1	0.2313	0.2336	2
22/10/2013	P2	0.2345	0.2288	2
22/10/2013	P3	0.249	0.2494	1
23/10/2013	Blank	0.3369	0.339	NA
23/10/2013	P1	0.21	0.2202	2
23/10/2013	P2	0.2532	0.2528	2
23/10/2013	P3	0.2671	0.2584	1
24/10/2013	Blank	0.3369	0.339	NA
24/10/2013	P1	0.2722	NA	2
24/10/2013	P2	0.3024	0.2994	2
24/10/2013	P3	0.2889	0.2855	1
25/10/2013	Blank	0.3407	0.3387	NA
25/10/2013	P1	0.2635	0.2748	2
25/10/2013	P2	0.2924	0.2821	2
25/10/2013	P3	0.2871	0.2871	1
27/10/2013	Blank	0.3407	0.3387	NA
27/10/2013	P1	0.2582	0.2655	2
27/10/2013	P2	0.2842	0.2863	2
27/10/2013	P3	0.283	0.2893	1
28/10/2013	Blank	0.3407	0.3387	NA
28/10/2013	P1	0.2595	0.2864	2
28/10/2013	P2	0.3026	0.2993	2
28/10/2013	P3	0.3055	0.3085	1
29/10/2013	Blank	0.3407	0.3387	NA
29/10/2013	P1	0.2249	0.2424	2
29/10/2013	P2	0.272	0.2773	2
29/10/2013	P3	0.2612	0.2743	1
30/10/2013	Blank	0.3407	0.3387	NA
30/10/2013	P1	0.2695	0.2732	2
30/10/2013	P2	0.2837	0.287	2
30/10/2013	P3	0.2845	0.2872	1
31/10/2013	Blank	0.3407	0.3387	NA
31/10/2013	P1	0.2762	0.274	2
31/10/2013	P2	0.2949	0.3002	2
31/10/2013	P3	0.2866	0.2782	1
1/11/2013	Blank	0.3407	0.3387	NA
1/11/2013	P1	0.276	0.2814	2
1/11/2013	P2	0.2942	0.2899	2
1/11/2013	P3	0.2478	0.2535	1
2/11/2013	Blank	0.3407	0.3387	NA
2/11/2013	P1	0.2749	0.276	2
2/11/2013	P2	0.2899	0.2917	2
2/11/2013	P3	0.2823	0.2832	1
3/11/2013	Blank	0.3407	0.3387	NA
3/11/2013	P1	0.2799	0.276	2
3/11/2013	P2	0.2964	0.2833	2
3/11/2013	P3	0.2949	0.2894	1
4/11/2013	Blank	0.3407	0.3387	NA
4/11/2013	P1	0.2842	0.2843	2
4/11/2013	P2	0.3115	0.2992	2
4/11/2013	P3	0.2949	0.2966	1
5/11/2013	Blank	0.3407	0.3387	NA
5/11/2013	P1	0.2847	0.2828	2
5/11/2013	P2	0.2916	0.2952	2
5/11/2013	P3	0.2963	0.2924	1
6/11/2013	Blank	0.3407	0.3387	NA
6/11/2013	P1	0.2866	0.2869	2
6/11/2013	P2	0.28	0.2874	2
6/11/2013	P3	0.2914	0.2924	1
7/11/2013	Blank	0.3407	0.3387	NA
7/11/2013	P1	0.2762	0.2732	2
7/11/2013	P2	0.2915	0.292	2
7/11/2013	P3	0.2904	0.2915	1
8/11/2013	Blank	0.3407	0.3387	NA
8/11/2013	P1	0.2802	0.2784	2
8/11/2013	P2	0.2888	0.2855	2
8/11/2013	P3	0.2793	0.282	1
9/11/2013	Blank	0.3407	0.3387	NA
9/11/2013	P1	0.2771	0.2848	2
9/11/2013	P2	0.2854	0.2863	2
9/11/2013	P3	0.2781	0.2764	1
11/11/2013	Blank	0.3407	0.3387	NA
11/11/2013	P1	0.288	0.2906	2
11/11/2013	P2	0.2935	0.2926	2
11/11/2013	P3	0.2703	0.2748	1
12/11/2013	Blank	0.3379	0.3336	NA
12/11/2013	P1	0.2229	0.2203	1
12/11/2013	P2	0.2421	0.2397	1
12/11/2013	P3	0.2903	0.288	1
13/11/2013	Blank	0.3379	0.3336	NA
13/11/2013	P1	0.2334	0.2308	1
13/11/2013	P2	0.2477	0.2476	1
13/11/2013	P3	0.2947	0.2863	1
14/11/2013	Blank	0.3379	0.3336	NA
14/11/2013	P1	0.2424	0.2484	1
14/11/2013	P2	0.2594	0.2605	1
14/11/2013	P3	0.288	0.2916	1
15/11/2013	Blank	0.3379	0.3336	NA
15/11/2013	P1	0.2617	0.2634	1
15/11/2013	P2	0.2648	0.2579	1
15/11/2013	P3	0.3005	0.299	1
16/11/2013	Blank	0.3379	0.3336	NA
16/11/2013	P1	0.2604	0.2596	1
16/11/2013	P2	0.2677	0.2672	1
16/11/2013	P3	0.2897	0.2809	1
17/11/2013	Blank	0.3386	0.333	NA
17/11/2013	P1	0.2737	0.2797	1
17/11/2013	P2	0.2764	0.2765	1
17/11/2013	P3	0.3013	0.291	1
18/11/2013	Blank	0.3386	0.333	NA
18/11/2013	P1	0.271	NA	1
18/11/2013	P2	0.2791	0.2882	1
18/11/2013	P3	0.301	0.3055	1
19/11/2013	Blank	0.3386	0.333	NA
19/11/2013	P1	0.2628	0.2651	1
19/11/2013	P2	0.2523	0.251	1
19/11/2013	P3	0.3079	0.308	1
20/11/2013	Blank	0.3386	0.333	NA
20/11/2013	P1	0.2523	0.2659	1
20/11/2013	P2	0.2876	0.2778	1
20/11/2013	P3	0.3113	0.3073	1
21/11/2013	Blank	0.3386	0.333	NA
21/11/2013	P1	0.2715	NA	1
21/11/2013	P2	0.2748	0.2823	1
21/11/2013	P3	0.2869	0.2893	1
22/11/2013	Blank	0.3282	0.3296	NA
22/11/2013	P1	0.2678	0.2612	1
22/11/2013	P2	0.255.	0.2781	1
22/11/2013	P3	0.2999	0.2999	1
